# Hostname: YICHI
# System Type: Linux
# Machine Type: x86_64
# Processor: x86_64
# Hostname: YICHI
# System Type: Linux
# Machine Type: x86_64
# Processor: x86_64
# Number of MPI ranks: 10
#
# norb: 10
# nelec: (1, 1)
#
# dt: 0.005
# n_exp_terms: 6
# n_eql: 4
# n_ene_blocks: 1
# n_sr_blocks: 10
# n_blocks: 200
# n_walkers: 40
# seed: 29
# walker_type: rhf
# trial: rhf
# corr_samp: False
# free_proj: False
# n_prop_steps: 50
# orbital_rotation: True
# do_sr: True
# symmetry: False
# save_walkers: False
# ene0: 0.0
# free_projection: False
# n_batch: 1
# LNO: False
# orbE: 0
# maxError: 0.001
#
# Number of MPI ranks: 10
#
# norb: 10
# nelec: (1, 1)
#
# dt: 0.005
# n_exp_terms: 6
# n_eql: 4
# n_ene_blocks: 1
# n_sr_blocks: 10
# n_blocks: 200
# n_walkers: 40
# seed: 29
# walker_type: rhf
# trial: rhf
# corr_samp: False
# free_proj: False
# n_prop_steps: 50
# orbital_rotation: True
# do_sr: True
# symmetry: False
# save_walkers: False
# ene0: 0.0
# free_projection: False
# n_batch: 1
# LNO: False
# orbE: 0
# maxError: 0.001
#
# relaxation from mean-field object using 400 walkers
# rlx_step 	 system1_en 	 system2_en 	 en_diff
    0	 	 -0.762049	 -0.751719	 -0.010331
# relaxation time: 3.57

# multiple independent post relaxation propagation
# uncorrelated sampling
# tot_walkers: 400, propagation steps: 20, number of independent runs: 400
# step	 system1_en 	 error	 	 system2_en 	 error	 	 energy_diff 	 error
  1	 -0.781593 	 0.000056	 -0.772311 	 0.000060	 -0.009282 	 0.000081
  2	 -0.797462 	 0.000125	 -0.789368 	 0.000141	 -0.008094 	 0.000180
  3	 -0.811361 	 0.000230	 -0.804272 	 0.000236	 -0.007089 	 0.000327
  4	 -0.824830 	 0.000608	 -0.818427 	 0.000759	 -0.006403 	 0.000982
  5	 -0.835348 	 0.000650	 -0.829455 	 0.000743	 -0.005893 	 0.000982
  6	 -0.844478 	 0.000821	 -0.837528 	 0.000789	 -0.006950 	 0.001158
  7	 -0.850650 	 0.000876	 -0.844359 	 0.000829	 -0.006291 	 0.001177
  8	 -0.856345 	 0.000935	 -0.850508 	 0.000958	 -0.005837 	 0.001303
  9	 -0.860296 	 0.000768	 -0.856251 	 0.000979	 -0.004045 	 0.001261
  10	 -0.864315 	 0.000941	 -0.858063 	 0.001058	 -0.006252 	 0.001392
  11	 -0.868591 	 0.000778	 -0.863601 	 0.000909	 -0.004990 	 0.001139
  12	 -0.875737 	 0.001551	 -0.873262 	 0.001892	 -0.002475 	 0.002497
  13	 -0.872391 	 0.001771	 -0.867155 	 0.001562	 -0.005236 	 0.002353
  14	 -0.872281 	 0.000927	 -0.869107 	 0.001196	 -0.003174 	 0.001451
  15	 -0.873974 	 0.001538	 -0.869714 	 0.001648	 -0.004260 	 0.002257
  16	 -0.876438 	 0.001392	 -0.875495 	 0.001752	 -0.000942 	 0.002285
  17	 -0.876959 	 0.001157	 -0.872722 	 0.001274	 -0.004238 	 0.001734
  18	 -0.875055 	 0.001111	 -0.872478 	 0.001341	 -0.002577 	 0.001733
  19	 -0.871830 	 0.001026	 -0.866324 	 0.001044	 -0.005507 	 0.001467
  20	 -0.876057 	 0.001345	 -0.871382 	 0.001491	 -0.004675 	 0.001966
# total run time: 652.93
